"1:7,0.69","6:5,0.9","11:7,0.45","13:6,0.39","23:1,0.32","26:2,0.88","36:3,0.48","38:3,0.89","41:9,0.53","44:9,0.52","55:5,0.6","62:1,0.77","67:9,0.65","69:8,0.66","79:6,0.76","88:2,0.84","90:5,0.53","94:1,0.75","97:4,0.55","104:3,0.76","107:6,0.84","121:3,0.84","125:1,0.33"
"1:5,0.7","6:8,0.59","11:1,0.8","13:8,0.44","23:7,0.33","26:4,0.36","36:2,0.43","38:5,0.31","41:8,0.65","44:3,0.78","55:2,0.53","62:5,0.51","67:6,0.81","69:8,0.51","79:3,0.73","88:4,0.82","90:9,0.75","94:8,0.71","97:9,0.5","104:2,0.88","107:1,0.55","119:7,0.61","122:9,0.34"
"1:6,0.75","6:2,0.72","11:6,0.8","13:7,0.35","23:7,0.55","26:5,0.89","36:4,0.55","38:4,0.53","41:7,0.68","44:6,0.64","55:6,0.49","62:7,0.37","67:2,0.43","69:6,0.55","79:4,0.41","88:5,0.84","90:2,0.61","94:6,0.54","97:7,0.34","104:3,0.35","107:3,0.68","119:7,0.84","125:8,0.81"
"1:5,0.63","6:7,0.65","11:9,0.48","13:8,0.64","23:9,0.68","26:7,0.74","36:2,0.64","38:4,0.34","41:3,0.6","44:1,0.46","55:4,0.53","62:3,0.41","67:6,0.79","69:2,0.55","79:3,0.44","88:2,0.38","90:5,0.54","94:1,0.37","97:7,0.42","104:2,0.75","108:2,0.64","121:9,0.82","122:4,0.58"
"1:1,0.8","6:6,0.7","11:4,0.79","13:1,0.55","23:3,0.4","26:1,0.55","36:6,0.55","38:4,0.68","41:6,0.59","44:6,0.53","55:5,0.4","62:9,0.49","67:2,0.3","69:5,0.83","79:1,0.43","88:3,0.58","90:1,0.43","94:3,0.49","97:9,0.4","104:8,0.48","108:7,0.42","121:6,0.38","125:4,0.77"
"1:7,0.35","6:9,0.61","11:3,0.31","13:4,0.8","23:9,0.3","26:7,0.81","36:6,0.6","38:7,0.88","41:2,0.64","44:4,0.85","55:2,0.73","62:2,0.69","67:3,0.6","69:2,0.58","79:1,0.79","88:4,0.68","90:7,0.53","94:4,0.54","97:5,0.59","104:9,0.34","108:4,0.4","119:6,0.65","122:5,0.5"
"1:4,0.42","6:8,0.67","11:3,0.7","13:5,0.89","23:1,0.8","26:8,0.52","36:6,0.68","38:4,0.7","41:2,0.7","44:3,0.73","55:6,0.38","62:8,0.87","67:6,0.55","69:2,0.65","79:6,0.33","88:4,0.33","90:7,0.6","94:9,0.34","97:2,0.38","104:7,0.5","108:5,0.81","119:5,0.78","125:2,0.6"
"1:3,0.78","5:9,0.44","9:9,0.84","16:1,0.84","24:2,0.5","31:5,0.65","36:8,0.6","38:5,0.64","42:4,0.54","47:2,0.54","55:6,0.56","60:6,0.38","67:3,0.88","71:7,0.37","79:6,0.69","88:1,0.83","90:3,0.64","94:9,0.81","97:5,0.41","104:5,0.74","107:6,0.57","121:7,0.82","126:2,0.73"
"1:4,0.85","5:9,0.81","9:6,0.68","16:1,0.77","24:1,0.72","31:2,0.72","36:6,0.73","38:8,0.61","42:3,0.87","47:6,0.88","55:4,0.53","60:1,0.85","67:5,0.35","71:8,0.32","79:7,0.36","88:6,0.7","90:7,0.32","94:9,0.6","97:1,0.9","104:8,0.38","107:3,0.32","120:4,0.86","126:4,0.63"
"1:9,0.36","5:2,0.39","9:7,0.54","16:8,0.56","24:4,0.57","31:1,0.42","36:8,0.43","38:5,0.6","42:7,0.52","47:8,0.3","55:2,0.65","60:1,0.51","67:6,0.59","71:5,0.8","79:4,0.65","88:8,0.59","90:6,0.46","94:8,0.42","97:4,0.35","104:5,0.74","108:1,0.65","121:6,0.46","126:7,0.84"
"1:9,0.6","5:4,0.73","9:1,0.75","16:9,0.88","24:7,0.62","31:1,0.81","36:6,0.43","38:2,0.38","42:3,0.55","47:7,0.38","55:5,0.89","60:9,0.84","67:1,0.64","71:9,0.33","79:1,0.81","88:5,0.53","90:6,0.67","94:8,0.76","97:1,0.32","104:2,0.85","108:1,0.88","120:1,0.57","126:9,0.6"
"1:6,0.45","5:8,0.85","9:4,0.68","16:8,0.47","24:7,0.75","31:4,0.79","36:1,0.63","38:5,0.36","42:2,0.64","50:6,0.87","55:7,0.6","60:9,0.43","67:2,0.42","71:1,0.51","79:3,0.86","88:9,0.68","90:3,0.52","94:2,0.36","97:1,0.42","104:6,0.66","107:1,0.65","121:3,0.7","126:5,0.34"
"1:3,0.49","5:8,0.67","9:1,0.74","16:4,0.76","24:3,0.45","31:9,0.73","36:7,0.89","38:7,0.81","42:1,0.9","50:7,0.8","55:9,0.65","60:6,0.84","67:2,0.84","71:5,0.31","79:4,0.64","88:8,0.63","90:9,0.58","94:5,0.7","97:4,0.31","104:2,0.61","107:7,0.44","120:4,0.68","126:8,0.72"
"1:3,0.53","5:7,0.45","9:3,0.83","16:8,0.37","24:5,0.64","31:9,0.5","36:4,0.43","38:2,0.35","42:8,0.61","50:1,0.5","55:8,0.54","60:8,0.6","67:3,0.89","71:9,0.63","79:3,0.76","88:4,0.34","90:3,0.62","94:8,0.49","97:8,0.46","104:6,0.6","108:3,0.44","121:1,0.43","126:1,0.53"
"1:8,0.62","5:2,0.66","9:3,0.46","16:8,0.7","24:3,0.53","31:6,0.75","36:8,0.34","38:7,0.47","42:7,0.59","50:5,0.72","55:2,0.72","60:5,0.49","67:8,0.51","71:3,0.51","79:5,0.88","88:5,0.71","90:9,0.62","94:6,0.38","97:7,0.69","104:1,0.72","108:9,0.52","120:2,0.76","126:2,0.79"
"1:6,0.74","5:8,0.84","9:4,0.63","16:6,0.34","24:8,0.56","31:7,0.6","36:1,0.69","38:1,0.7","42:9,0.31","43:9,0.42","55:4,0.9","60:4,0.46","67:6,0.72","71:3,0.76","79:6,0.61","88:7,0.33","90:5,0.75","94:6,0.53","97:4,0.81","104:9,0.65","107:4,0.48","121:6,0.38","126:6,0.57"
"1:6,0.35","5:6,0.73","9:9,0.86","16:3,0.54","24:9,0.63","31:4,0.78","36:5,0.9","38:3,0.58","42:7,0.37","43:9,0.75","55:7,0.76","60:9,0.85","67:7,0.65","71:8,0.88","79:5,0.59","88:3,0.87","90:4,0.68","94:1,0.43","97:9,0.51","104:5,0.58","107:8,0.75","120:3,0.55","126:2,0.64"
"1:4,0.85","5:3,0.41","9:5,0.35","16:3,0.86","24:4,0.38","31:1,0.82","36:7,0.41","38:4,0.71","42:5,0.82","43:2,0.85","55:6,0.46","60:6,0.47","67:9,0.67","71:6,0.62","79:9,0.83","88:4,0.35","90:1,0.33","94:4,0.51","97:4,0.32","104:3,0.6","108:7,0.58","121:6,0.7","126:1,0.49"
"1:8,0.65","5:9,0.87","9:6,0.57","16:7,0.8","24:9,0.65","31:7,0.69","36:2,0.42","38:6,0.34","42:7,0.4","43:9,0.54","55:9,0.49","60:5,0.88","67:4,0.48","71:7,0.33","79:9,0.79","88:9,0.4","90:1,0.65","94:6,0.63","97:3,0.61","104:5,0.54","108:4,0.54","120:2,0.54","126:4,0.31"
"1:9,0.48","5:1,0.36","9:3,0.75","16:3,0.61","24:1,0.44","31:4,0.72","36:7,0.49","38:1,0.61","42:5,0.77","44:8,0.47","55:2,0.68","60:7,0.78","67:4,0.45","71:4,0.82","79:1,0.44","88:2,0.34","90:2,0.53","94:4,0.76","97:7,0.41","104:3,0.61","107:6,0.8","121:5,0.34","126:1,0.62"
"1:6,0.57","5:7,0.39","9:6,0.35","16:2,0.68","24:9,0.49","31:7,0.35","36:7,0.74","38:7,0.75","42:1,0.41","44:7,0.83","55:5,0.55","60:1,0.68","67:8,0.46","71:6,0.42","79:2,0.85","88:7,0.83","90:3,0.84","94:5,0.34","97:1,0.55","104:8,0.63","107:5,0.49","120:8,0.82","126:4,0.81"
"1:3,0.85","5:7,0.51","9:3,0.85","16:5,0.39","24:4,0.76","31:4,0.51","36:5,0.81","38:1,0.58","42:2,0.69","44:1,0.71","55:3,0.67","60:6,0.31","67:4,0.7","71:1,0.89","79:1,0.8","88:7,0.57","90:5,0.62","94:4,0.86","97:4,0.77","104:8,0.76","108:5,0.57","121:6,0.51","126:2,0.4"
"1:9,0.72","5:5,0.75","9:3,0.39","16:3,0.6","24:9,0.34","31:3,0.33","36:6,0.38","38:8,0.82","42:9,0.3","44:3,0.55","55:7,0.4","60:1,0.81","67:1,0.59","71:4,0.89","79:3,0.47","88:2,0.44","90:5,0.44","94:4,0.79","97:3,0.52","104:3,0.59","108:7,0.79","120:4,0.64","126:9,0.88"
"1:5,0.33","5:4,0.59","9:7,0.51","13:4,0.66","24:5,0.39","31:9,0.75","36:9,0.31","38:4,0.89","42:9,0.55","47:5,0.79","55:5,0.63","60:4,0.8","67:1,0.61","71:1,0.5","79:1,0.75","88:5,0.86","90:9,0.81","94:2,0.5","97:1,0.8","104:2,0.63","107:4,0.58","121:3,0.36","126:1,0.59"
"1:5,0.45","5:4,0.64","9:2,0.58","13:8,0.86","24:1,0.32","31:5,0.51","36:9,0.71","38:9,0.71","42:9,0.54","47:8,0.75","55:8,0.48","60:5,0.66","67:7,0.53","71:1,0.57","79:4,0.54","88:1,0.76","90:8,0.46","94:3,0.3","97:2,0.63","104:4,0.56","107:4,0.6","120:3,0.51","126:3,0.77"
"1:5,0.3","5:4,0.65","9:6,0.37","13:1,0.38","24:6,0.59","31:8,0.52","36:7,0.55","38:5,0.87","42:1,0.43","47:2,0.56","55:7,0.58","60:2,0.58","67:3,0.46","71:9,0.34","79:6,0.45","88:7,0.83","90:3,0.67","94:9,0.44","97:4,0.31","104:6,0.44","108:6,0.38","121:7,0.33","126:9,0.89"
"1:4,0.41","5:9,0.8","9:4,0.47","13:1,0.36","24:5,0.67","31:8,0.8","36:5,0.57","38:6,0.46","42:8,0.42","47:8,0.81","55:1,0.47","60:1,0.65","67:7,0.58","71:2,0.66","79:6,0.79","88:7,0.89","90:6,0.64","94:8,0.44","97:7,0.36","104:1,0.7","108:5,0.31","120:8,0.42","126:7,0.62"
"1:2,0.85","5:9,0.82","9:1,0.48","13:2,0.72","24:8,0.88","31:6,0.56","36:5,0.83","38:1,0.58","42:3,0.78","50:9,0.7","55:9,0.57","60:8,0.78","67:7,0.87","71:2,0.53","79:9,0.58","88:4,0.55","90:5,0.76","94:2,0.32","97:9,0.82","104:8,0.9","107:7,0.57","121:2,0.86","126:7,0.5"
"1:8,0.72","5:9,0.8","9:9,0.88","13:2,0.4","24:8,0.75","31:9,0.61","36:3,0.45","38:2,0.67","42:7,0.32","50:9,0.48","55:6,0.71","60:9,0.77","67:6,0.42","71:4,0.34","79:5,0.43","88:7,0.42","90:9,0.49","94:7,0.88","97:1,0.6","104:2,0.56","107:5,0.45","120:2,0.46","126:5,0.3"
"1:1,0.75","5:5,0.32","9:8,0.52","13:1,0.39","24:2,0.33","31:7,0.49","36:1,0.57","38:8,0.4","42:7,0.61","50:3,0.41","55:9,0.6","60:6,0.75","67:5,0.39","71:4,0.75","79:5,0.9","88:8,0.65","90:3,0.84","94:6,0.37","97:8,0.71","104:7,0.54","108:6,0.9","121:8,0.74","126:6,0.61"
"1:8,0.8","5:4,0.87","9:8,0.85","13:1,0.8","24:6,0.41","31:3,0.51","36:1,0.78","38:8,0.58","42:9,0.49","50:7,0.3","55:2,0.59","60:4,0.72","67:5,0.34","71:3,0.51","79:1,0.33","88:2,0.42","90:2,0.55","94:7,0.81","97:8,0.51","104:8,0.77","108:1,0.56","120:3,0.83","126:8,0.36"
"1:7,0.43","5:6,0.31","9:5,0.41","13:8,0.39","24:1,0.71","31:4,0.61","36:2,0.59","38:7,0.58","42:3,0.86","43:3,0.81","55:8,0.32","60:6,0.49","67:2,0.54","71:4,0.64","79:6,0.61","88:7,0.46","90:8,0.38","94:7,0.33","97:5,0.53","104:8,0.89","107:9,0.39","121:1,0.71","126:7,0.67"
"1:7,0.72","5:2,0.49","9:6,0.32","13:3,0.54","24:2,0.44","31:1,0.72","36:8,0.44","38:3,0.39","42:1,0.79","43:7,0.53","55:7,0.54","60:6,0.47","67:1,0.49","71:3,0.47","79:2,0.71","88:7,0.89","90:5,0.43","94:4,0.72","97:9,0.75","104:2,0.58","107:1,0.52","120:2,0.44","126:9,0.32"
"1:6,0.57","5:3,0.37","9:7,0.77","13:8,0.81","24:9,0.53","31:6,0.5","36:6,0.38","38:2,0.49","42:1,0.56","43:6,0.7","55:8,0.31","60:3,0.67","67:6,0.32","71:7,0.62","79:5,0.47","88:3,0.76","90:6,0.86","94:9,0.65","97:3,0.86","104:6,0.64","108:3,0.82","121:4,0.49","126:1,0.32"
"1:3,0.5","5:6,0.34","9:2,0.59","13:8,0.72","24:6,0.35","31:4,0.58","36:9,0.45","38:6,0.43","42:3,0.57","43:4,0.46","55:5,0.78","60:6,0.62","67:1,0.7","71:8,0.55","79:3,0.37","88:5,0.55","90:2,0.54","94:7,0.35","97:3,0.86","104:7,0.76","108:4,0.39","120:3,0.38","126:5,0.84"
"1:8,0.32","5:9,0.36","9:1,0.36","13:9,0.71","24:3,0.65","31:8,0.34","36:9,0.62","38:1,0.76","42:9,0.66","44:5,0.45","55:5,0.63","60:2,0.79","67:7,0.61","71:8,0.75","79:4,0.3","88:1,0.61","90:1,0.49","94:9,0.78","97:1,0.5","104:9,0.33","107:2,0.46","121:4,0.43","126:1,0.5"
"1:1,0.63","5:2,0.72","9:1,0.5","13:4,0.5","24:9,0.73","31:7,0.79","36:1,0.68","38:2,0.77","42:2,0.36","44:7,0.64","55:7,0.31","60:3,0.88","67:2,0.4","71:5,0.84","79:8,0.8","88:5,0.39","90:2,0.39","94:6,0.64","97:4,0.54","104:3,0.33","107:5,0.67","120:9,0.77","126:5,0.65"
"1:6,0.66","5:3,0.53","9:3,0.3","13:4,0.35","24:5,0.75","31:6,0.55","36:6,0.6","38:2,0.76","42:7,0.51","44:9,0.68","55:4,0.31","60:6,0.81","67:5,0.44","71:9,0.64","79:7,0.47","88:2,0.54","90:6,0.32","94:7,0.39","97:6,0.41","104:3,0.76","108:4,0.31","121:3,0.9","126:9,0.85"
"1:7,0.45","5:3,0.55","9:4,0.7","13:6,0.79","24:6,0.59","31:6,0.63","36:2,0.6","38:1,0.71","42:9,0.42","44:4,0.49","55:1,0.61","60:6,0.46","67:5,0.8","71:8,0.61","79:6,0.64","88:9,0.37","90:3,0.31","94:7,0.52","97:4,0.41","104:7,0.79","108:8,0.56","120:3,0.38","126:7,0.62"
"1:2,0.78","6:8,0.5","9:5,0.37","16:4,0.67","24:6,0.88","31:8,0.8","36:1,0.4","38:3,0.84","42:1,0.35","47:8,0.6","55:1,0.55","60:5,0.52","67:1,0.38","71:7,0.7","79:5,0.46","88:4,0.77","90:4,0.47","94:5,0.72","97:2,0.32","104:4,0.41","107:4,0.74","121:2,0.8","126:7,0.8"
"1:7,0.88","6:1,0.83","9:7,0.68","16:5,0.58","24:3,0.75","31:2,0.35","36:1,0.48","38:9,0.44","42:5,0.45","47:8,0.81","55:3,0.54","60:2,0.69","67:8,0.58","71:8,0.77","79:6,0.69","88:4,0.82","90:5,0.39","94:6,0.43","97:4,0.86","104:3,0.38","107:3,0.52","120:8,0.59","126:3,0.57"
"1:5,0.52","6:6,0.33","9:2,0.7","16:9,0.62","24:6,0.41","31:2,0.86","36:5,0.62","38:7,0.9","42:4,0.73","47:4,0.62","55:7,0.73","60:9,0.59","67:9,0.82","71:3,0.79","79:1,0.75","88:5,0.58","90:9,0.45","94:9,0.77","97:5,0.57","104:8,0.33","108:7,0.65","121:4,0.71","126:3,0.62"
"1:4,0.38","6:1,0.39","9:6,0.49","16:2,0.81","24:8,0.66","31:5,0.55","36:8,0.69","38:9,0.7","42:2,0.61","47:9,0.77","55:4,0.73","60:2,0.82","67:6,0.67","71:5,0.77","79:6,0.89","88:3,0.72","90:2,0.37","94:9,0.5","97:8,0.4","104:6,0.88","108:1,0.35","120:5,0.58","126:8,0.59"
"1:7,0.38","6:4,0.6","9:7,0.83","16:6,0.48","24:8,0.71","31:2,0.72","36:9,0.68","38:3,0.79","42:3,0.31","50:9,0.73","55:2,0.31","60:1,0.36","67:5,0.41","71:7,0.7","79:1,0.54","88:6,0.35","90:8,0.49","94:6,0.36","97:1,0.64","104:7,0.57","107:1,0.7","121:1,0.3","126:5,0.68"
"1:6,0.61","6:8,0.84","9:5,0.39","16:3,0.59","24:5,0.83","31:7,0.55","36:3,0.67","38:9,0.42","42:1,0.87","50:6,0.37","55:2,0.65","60:3,0.75","67:2,0.41","71:4,0.82","79:5,0.42","88:4,0.5","90:7,0.58","94:8,0.71","97:8,0.57","104:5,0.84","107:3,0.53","120:6,0.62","126:8,0.49"
"1:4,0.7","6:1,0.48","9:8,0.66","16:5,0.3","24:8,0.35","31:3,0.82","36:1,0.87","38:7,0.35","42:1,0.59","50:5,0.9","55:7,0.83","60:7,0.66","67:8,0.8","71:5,0.58","79:2,0.58","88:3,0.47","90:4,0.52","94:7,0.6","97:4,0.77","104:1,0.43","108:6,0.75","121:7,0.86","126:6,0.73"
"1:6,0.5","6:8,0.74","9:7,0.59","16:6,0.74","24:8,0.88","31:2,0.75","36:8,0.41","38:4,0.69","42:5,0.79","50:7,0.46","55:7,0.75","60:2,0.41","67:7,0.35","71:4,0.69","79:4,0.36","88:7,0.41","90:8,0.5","94:5,0.45","97:1,0.65","104:2,0.68","108:6,0.54","120:7,0.43","126:1,0.34"
"1:7,0.42","6:3,0.73","9:2,0.78","16:1,0.52","24:2,0.53","31:1,0.57","36:8,0.82","38:1,0.82","42:9,0.36","43:4,0.74","55:6,0.76","60:4,0.82","67:8,0.75","71:4,0.66","79:6,0.86","88:8,0.85","90:3,0.76","94:6,0.65","97:9,0.54","104:8,0.58","107:1,0.5","121:5,0.61","126:1,0.58"
"1:3,0.72","6:7,0.67","9:2,0.5","16:9,0.41","24:8,0.31","31:3,0.64","36:4,0.77","38:2,0.43","42:3,0.53","43:4,0.58","55:5,0.55","60:3,0.34","67:7,0.75","71:9,0.47","79:6,0.6","88:2,0.72","90:2,0.62","94:3,0.72","97:6,0.34","104:6,0.78","107:2,0.58","120:6,0.5","126:3,0.39"
"1:6,0.52","6:3,0.71","9:6,0.63","16:1,0.82","24:7,0.42","31:3,0.76","36:9,0.77","38:3,0.67","42:4,0.78","43:6,0.87","55:9,0.81","60:9,0.67","67:2,0.52","71:4,0.51","79:7,0.48","88:3,0.55","90:5,0.81","94:8,0.46","97:5,0.71","104:6,0.32","108:3,0.84","121:4,0.36","126:1,0.85"
"1:2,0.9","6:6,0.74","9:1,0.62","16:1,0.86","24:8,0.49","31:5,0.79","36:6,0.75","38:6,0.63","42:1,0.49","43:1,0.37","55:9,0.84","60:9,0.83","67:7,0.59","71:8,0.78","79:5,0.45","88:7,0.35","90:4,0.57","94:9,0.87","97:7,0.42","104:7,0.77","108:5,0.53","120:6,0.45","126:4,0.44"
"1:8,0.57","6:7,0.88","9:4,0.87","16:3,0.39","24:7,0.85","31:3,0.6","36:2,0.51","38:3,0.43","42:5,0.42","44:8,0.45","55:6,0.33","60:3,0.37","67:5,0.31","71:1,0.45","79:3,0.75","88:1,0.67","90:7,0.4","94:2,0.46","97:8,0.57","104:7,0.53","107:9,0.75","121:6,0.65","126:9,0.36"
"1:5,0.59","6:4,0.53","9:6,0.42","16:8,0.69","24:9,0.51","31:8,0.78","36:9,0.75","38:6,0.84","42:6,0.57","44:4,0.37","55:9,0.45","60:5,0.46","67:7,0.34","71:7,0.45","79:6,0.41","88:8,0.45","90:8,0.59","94:4,0.56","97:3,0.35","104:4,0.6","107:9,0.57","120:6,0.53","126:2,0.77"
"1:2,0.86","6:9,0.58","9:6,0.6","16:9,0.81","24:4,0.38","31:3,0.79","36:1,0.68","38:1,0.85","42:6,0.65","44:6,0.47","55:2,0.56","60:7,0.49","67:6,0.47","71:6,0.74","79:2,0.64","88:5,0.48","90:3,0.47","94:3,0.82","97:8,0.36","104:3,0.41","108:4,0.45","121:1,0.76","126:7,0.5"
"1:4,0.52","6:4,0.83","9:6,0.67","16:8,0.49","24:9,0.31","31:7,0.9","36:3,0.6","38:2,0.66","42:1,0.62","44:9,0.59","55:6,0.68","60:9,0.69","67:9,0.39","71:8,0.89","79:8,0.81","88:7,0.45","90:8,0.57","94:9,0.73","97:7,0.81","104:7,0.32","108:8,0.69","120:8,0.6","126:6,0.86"
"1:1,0.77","6:1,0.71","9:5,0.47","13:6,0.7","24:8,0.72","31:7,0.39","36:1,0.71","38:1,0.86","42:4,0.73","47:3,0.54","55:3,0.57","60:3,0.51","67:7,0.44","71:6,0.67","79:2,0.74","88:7,0.6","90:2,0.58","94:6,0.42","97:9,0.8","104:8,0.4","107:6,0.63","121:9,0.58","126:1,0.89"
"1:9,0.48","6:8,0.5","9:6,0.76","13:9,0.78","24:6,0.42","31:7,0.5","36:8,0.39","38:9,0.43","42:6,0.32","47:8,0.74","55:1,0.51","60:4,0.81","67:7,0.66","71:8,0.41","79:3,0.62","88:6,0.53","90:4,0.63","94:1,0.8","97:3,0.59","104:9,0.86","107:4,0.57","120:9,0.76","126:2,0.47"
"1:3,0.49","6:4,0.58","9:8,0.44","13:7,0.71","24:1,0.8","31:9,0.52","36:4,0.32","38:9,0.46","42:9,0.42","47:7,0.77","55:9,0.86","60:7,0.57","67:4,0.62","71:7,0.5","79:7,0.33","88:7,0.58","90:6,0.9","94:6,0.64","97:8,0.77","104:6,0.47","108:1,0.49","121:8,0.59","126:3,0.51"
"1:1,0.48","6:3,0.5","9:9,0.69","13:9,0.63","24:1,0.68","31:6,0.78","36:9,0.57","38:4,0.51","42:9,0.48","47:6,0.77","55:3,0.33","60:1,0.39","67:2,0.31","71:5,0.35","79:1,0.77","88:5,0.65","90:2,0.54","94:1,0.61","97:2,0.56","104:2,0.35","108:6,0.68","120:7,0.35","126:5,0.31"
"1:5,0.56","6:6,0.33","9:1,0.82","13:5,0.5","24:5,0.32","31:9,0.65","36:3,0.68","38:1,0.54","42:1,0.86","50:7,0.49","55:5,0.67","60:6,0.56","67:6,0.74","71:9,0.87","79:4,0.77","88:7,0.43","90:4,0.54","94:8,0.38","97:3,0.48","104:6,0.76","107:2,0.59","121:9,0.74","126:4,0.51"
"1:5,0.82","6:3,0.46","9:7,0.54","13:4,0.7","24:1,0.76","31:1,0.46","36:4,0.66","38:9,0.31","42:9,0.82","50:9,0.78","55:7,0.6","60:3,0.81","67:2,0.48","71:7,0.37","79:8,0.33","88:9,0.87","90:4,0.34","94:1,0.87","97:9,0.88","104:7,0.88","107:9,0.85","120:2,0.43","126:1,0.44"
"1:9,0.48","6:2,0.71","9:9,0.36","13:1,0.36","24:5,0.5","31:7,0.53","36:3,0.52","38:4,0.37","42:6,0.43","50:2,0.38","55:7,0.66","60:8,0.54","67:3,0.77","71:6,0.86","79:5,0.59","88:6,0.32","90:1,0.68","94:9,0.67","97:8,0.37","104:4,0.69","108:2,0.76","121:8,0.36","126:7,0.32"
"1:5,0.4","6:2,0.46","9:5,0.57","13:7,0.5","24:5,0.46","31:2,0.52","36:7,0.46","38:6,0.71","42:9,0.74","50:3,0.66","55:7,0.74","60:5,0.74","67:6,0.45","71:2,0.8","79:8,0.63","88:5,0.66","90:8,0.8","94:3,0.31","97:4,0.79","104:4,0.57","108:7,0.86","120:3,0.49","126:3,0.79"
"1:7,0.3","6:8,0.47","9:2,0.49","13:5,0.81","24:5,0.3","31:3,0.56","36:2,0.41","38:4,0.47","42:6,0.51","43:7,0.35","55:4,0.39","60:7,0.73","67:2,0.42","71:5,0.86","79:6,0.51","88:1,0.65","90:6,0.46","94:3,0.82","97:6,0.76","104:8,0.5","107:6,0.54","121:9,0.6","126:1,0.61"
"1:5,0.69","6:9,0.85","9:1,0.56","13:8,0.34","24:7,0.41","31:5,0.32","36:3,0.69","38:4,0.59","42:2,0.74","43:4,0.39","55:8,0.4","60:4,0.45","67:7,0.38","71:8,0.85","79:7,0.56","88:7,0.83","90:6,0.85","94:9,0.82","97:5,0.76","104:9,0.88","107:8,0.75","120:3,0.89","126:5,0.46"
"1:4,0.77","6:4,0.55","9:6,0.68","13:8,0.39","24:7,0.55","31:5,0.73","36:1,0.85","38:6,0.44","42:7,0.84","43:9,0.43","55:3,0.32","60:2,0.54","67:4,0.82","71:8,0.57","79:1,0.5","88:5,0.32","90:4,0.63","94:9,0.43","97:4,0.36","104:6,0.78","108:2,0.61","121:2,0.54","126:5,0.62"
"1:1,0.39","6:7,0.38","9:1,0.82","13:4,0.6","24:6,0.87","31:2,0.37","36:5,0.76","38:4,0.64","42:9,0.85","43:6,0.59","55:5,0.79","60:6,0.65","67:2,0.31","71:7,0.76","79:1,0.6","88:3,0.44","90:7,0.51","94:5,0.54","97:3,0.55","104:3,0.79","108:5,0.82","120:8,0.63","126:3,0.39"
"1:6,0.36","6:9,0.9","9:3,0.82","13:7,0.88","24:2,0.87","31:4,0.5","36:7,0.38","38:1,0.62","42:1,0.35","44:8,0.81","55:8,0.85","60:1,0.54","67:9,0.34","71:8,0.69","79:3,0.82","88:7,0.62","90:7,0.86","94:1,0.89","97:4,0.55","104:2,0.76","107:9,0.86","121:3,0.37","126:1,0.57"
"1:4,0.58","6:4,0.33","9:8,0.35","13:5,0.75","24:1,0.42","31:1,0.66","36:3,0.32","38:1,0.5","42:7,0.41","44:1,0.59","55:3,0.89","60:5,0.6","67:9,0.8","71:8,0.67","79:9,0.81","88:3,0.34","90:3,0.58","94:9,0.37","97:6,0.86","104:3,0.66","107:4,0.4","120:8,0.7","126:3,0.88"
"1:6,0.45","6:2,0.48","9:4,0.63","13:5,0.59","24:6,0.47","31:2,0.6","36:7,0.77","38:6,0.66","42:8,0.63","44:1,0.59","55:3,0.74","60:5,0.75","67:4,0.54","71:9,0.45","79:6,0.52","88:6,0.69","90:5,0.8","94:6,0.63","97:9,0.6","104:1,0.31","108:8,0.75","121:1,0.67","126:1,0.74"
"1:2,0.57","6:3,0.36","9:2,0.78","13:6,0.89","24:9,0.3","31:4,0.43","36:2,0.78","38:6,0.7","42:7,0.46","44:2,0.33","55:5,0.54","60:2,0.83","67:4,0.89","71:4,0.5","79:1,0.81","88:7,0.4","90:3,0.79","94:7,0.33","97:4,0.35","104:7,0.75","108:3,0.76","120:7,0.8","126:4,0.44"
"1:7,0.36","8:1,0.84","9:3,0.41","16:1,0.34","24:2,0.71","31:2,0.66","36:5,0.49","38:5,0.33","42:2,0.66","47:6,0.32","55:2,0.66","60:1,0.3","67:6,0.55","71:8,0.78","79:4,0.68","88:3,0.78","90:4,0.52","94:6,0.35","97:7,0.44","104:3,0.46","107:4,0.69","121:1,0.39","126:3,0.78"
"1:9,0.77","8:7,0.59","9:2,0.33","16:7,0.5","24:7,0.31","31:5,0.65","36:4,0.52","38:8,0.56","42:5,0.35","47:5,0.65","55:6,0.58","60:8,0.5","67:3,0.38","71:8,0.82","79:8,0.72","88:6,0.4","90:2,0.49","94:8,0.87","97:9,0.67","104:9,0.66","107:2,0.54","120:9,0.82","126:2,0.59"
"1:2,0.49","8:2,0.36","9:5,0.4","16:5,0.37","24:5,0.72","31:9,0.49","36:6,0.83","38:7,0.56","42:2,0.85","47:4,0.57","55:8,0.84","60:5,0.36","67:1,0.71","71:7,0.66","79:5,0.84","88:6,0.69","90:9,0.51","94:1,0.42","97:1,0.84","104:2,0.86","108:7,0.83","121:2,0.58","126:7,0.36"
"1:1,0.37","8:3,0.57","9:9,0.43","16:2,0.7","24:9,0.68","31:2,0.57","36:1,0.86","38:6,0.58","42:7,0.51","47:7,0.46","55:1,0.34","60:2,0.7","67:6,0.47","71:3,0.77","79:1,0.73","88:8,0.63","90:3,0.81","94:2,0.37","97:5,0.42","104:3,0.48","108:2,0.8","120:5,0.83","126:8,0.49"
