"1:2,0.65","3:7,0.45","5:7,0.46","7:2,0.52","9:2,0.88","11:2,0.61","13:3,0.4","15:2,0.43","17:3,0.75","19:6,0.34","22:1,0.38","24:3,0.42","25:3,0.73","28:2,0.43","29:3,0.86","31:9,0.49","34:9,0.84","36:5,0.89","38:8,0.44","40:1,0.4","42:2,0.73","45:2,0.54","46:2,0.33","48:2,0.66","50:6,0.43","52:3,0.88","54:1,0.5","56:8,0.6","58:5,0.9","60:3,0.79","62:9,0.35","64:5,0.86","66:4,0.68","69:2,0.73","70:5,0.71","72:2,0.67","74:8,0.87"
"1:9,0.82","3:8,0.54","5:1,0.7","7:2,0.36","9:5,0.78","12:4,0.74","13:7,0.71","15:1,0.35","17:5,0.37","19:1,0.86","22:5,0.7","24:9,0.61","25:1,0.54","28:6,0.53","29:3,0.69","31:1,0.68","34:9,0.41","36:3,0.72","38:4,0.56","40:6,0.39","42:4,0.67","45:3,0.52","46:3,0.33","48:6,0.53","51:7,0.71","52:8,0.67","54:2,0.83","56:7,0.57","58:2,0.84","60:3,0.58","62:5,0.78","64:1,0.36","66:1,0.51","68:8,0.38","70:4,0.45","72:3,0.49","74:8,0.78"
"1:8,0.7","3:1,0.54","5:7,0.82","7:9,0.58","9:9,0.8","11:2,0.64","13:1,0.73","15:3,0.79","17:3,0.63","19:6,0.47","22:5,0.31","24:7,0.75","25:7,0.82","28:9,0.69","29:6,0.71","31:2,0.49","34:7,0.75","36:3,0.4","38:9,0.46","40:2,0.67","42:1,0.54","45:5,0.5","46:9,0.41","48:8,0.63","51:5,0.84","52:1,0.5","54:7,0.48","56:8,0.71","58:8,0.39","60:2,0.4","62:9,0.36","64:4,0.43","66:6,0.44","69:9,0.48","70:4,0.31","72:3,0.55","74:8,0.6"
"1:4,0.43","3:1,0.89","5:3,0.85","7:1,0.6","9:3,0.33","11:6,0.54","13:6,0.67","15:1,0.89","17:5,0.45","19:6,0.62","22:6,0.56","23:6,0.35","25:8,0.75","28:4,0.77","29:6,0.87","31:5,0.89","34:5,0.75","36:5,0.82","38:3,0.75","40:1,0.66","42:5,0.49","45:5,0.86","46:2,0.41","49:9,0.43","50:2,0.78","52:5,0.86","54:5,0.84","56:3,0.41","58:9,0.44","60:6,0.7","62:8,0.89","64:5,0.39","66:7,0.74","68:1,0.81","70:6,0.79","72:6,0.31","74:5,0.88"
"1:9,0.69","3:7,0.73","5:2,0.83","7:4,0.63","9:3,0.6","11:2,0.31","14:6,0.73","15:3,0.51","17:3,0.36","19:9,0.65","22:5,0.53","23:4,0.89","25:2,0.56","28:7,0.52","29:6,0.53","31:7,0.82","34:1,0.33","36:5,0.79","38:4,0.42","40:1,0.35","42:7,0.79","45:1,0.58","46:6,0.8","48:6,0.73","50:5,0.81","52:5,0.86","54:8,0.9","56:6,0.67","58:3,0.71","60:4,0.73","62:7,0.79","64:6,0.75","66:8,0.46","68:2,0.69","70:2,0.78","72:7,0.85","74:6,0.55"
"1:7,0.75","3:8,0.54","5:1,0.54","7:4,0.53","9:6,0.61","12:2,0.57","14:2,0.33","15:7,0.58","17:7,0.66","19:3,0.47","22:7,0.86","23:4,0.49","25:4,0.55","28:3,0.6","29:6,0.35","31:7,0.41","34:9,0.42","36:8,0.66","38:5,0.57","40:5,0.34","42:4,0.43","45:4,0.55","46:1,0.37","48:8,0.87","50:7,0.59","52:1,0.52","54:5,0.75","56:6,0.32","58:6,0.86","60:2,0.56","62:6,0.85","64:9,0.68","66:1,0.68","68:7,0.37","70:5,0.53","72:9,0.77","74:8,0.53"
"1:9,0.7","3:6,0.81","5:7,0.48","7:1,0.42","9:7,0.83","12:4,0.7","14:5,0.38","16:7,0.54","17:3,0.6","19:3,0.35","22:4,0.55","23:6,0.89","25:7,0.57","28:1,0.53","29:1,0.86","31:3,0.6","34:8,0.75","36:4,0.55","38:8,0.55","40:5,0.58","42:7,0.55","45:8,0.68","46:7,0.45","48:3,0.39","50:2,0.87","52:3,0.79","54:5,0.82","56:5,0.79","58:6,0.74","60:3,0.46","62:5,0.66","64:2,0.57","66:5,0.62","68:3,0.55","70:5,0.78","72:2,0.32","74:6,0.85"
"1:8,0.61","3:2,0.88","5:4,0.42","7:1,0.59","9:1,0.43","11:4,0.75","14:6,0.54","15:7,0.88","17:1,0.5","19:4,0.69","22:1,0.62","23:6,0.35","25:9,0.42","28:7,0.33","29:7,0.71","31:5,0.9","34:9,0.87","36:6,0.55","38:2,0.34","40:4,0.31","42:9,0.8","45:8,0.82","46:9,0.53","48:9,0.72","51:1,0.86","52:1,0.78","54:5,0.36","56:7,0.34","58:7,0.68","60:2,0.42","62:1,0.54","64:6,0.47","66:6,0.42","68:7,0.35","70:1,0.47","72:9,0.77","74:9,0.64"
"1:1,0.49","3:8,0.84","5:9,0.73","7:8,0.52","9:5,0.77","11:1,0.4","14:4,0.6","15:2,0.8","17:9,0.66","19:3,0.58","22:4,0.5","24:5,0.75","25:5,0.71","28:6,0.77","29:9,0.84","31:1,0.51","34:8,0.84","36:4,0.69","38:2,0.65","40:6,0.38","42:2,0.76","45:6,0.78","46:8,0.68","48:3,0.8","50:6,0.74","52:7,0.55","54:7,0.43","56:6,0.37","58:9,0.85","60:7,0.42","62:8,0.67","64:7,0.44","66:2,0.88","68:4,0.42","70:4,0.9","72:9,0.8","74:7,0.63"
"1:4,0.54","3:6,0.57","5:1,0.78","7:6,0.71","9:4,0.46","12:2,0.9","14:7,0.39","15:3,0.42","17:6,0.54","19:2,0.81","22:5,0.79","24:4,0.52","25:8,0.35","28:3,0.31","29:6,0.59","31:3,0.79","34:4,0.68","36:7,0.3","38:9,0.41","40:8,0.76","42:9,0.57","45:3,0.89","46:6,0.54","48:6,0.83","50:4,0.83","52:1,0.58","54:1,0.59","56:1,0.76","58:7,0.32","60:7,0.58","62:5,0.44","64:6,0.89","66:4,0.47","68:8,0.85","70:7,0.72","72:2,0.86","74:6,0.83"
"1:7,0.42","3:7,0.31","5:2,0.31","7:2,0.81","9:3,0.43","12:3,0.41","14:4,0.83","16:8,0.4","17:9,0.47","19:4,0.9","22:1,0.63","24:7,0.66","25:1,0.42","28:1,0.42","29:5,0.88","31:1,0.54","34:9,0.73","36:6,0.74","38:1,0.46","40:5,0.84","42:9,0.5","45:2,0.68","46:7,0.62","48:9,0.74","50:3,0.34","52:2,0.83","54:4,0.68","56:8,0.63","58:9,0.57","60:4,0.88","62:5,0.53","64:8,0.56","66:7,0.62","68:4,0.33","70:1,0.74","72:4,0.58","74:4,0.84"
"1:8,0.78","3:5,0.81","5:5,0.44","7:6,0.31","9:9,0.81","11:6,0.7","14:1,0.47","15:6,0.77","17:5,0.4","19:4,0.52","22:9,0.62","24:8,0.68","25:3,0.36","28:5,0.44","29:9,0.33","31:5,0.71","34:8,0.81","36:5,0.75","38:9,0.44","40:2,0.61","42:7,0.79","45:9,0.32","46:8,0.52","48:4,0.9","50:4,0.7","52:9,0.82","54:7,0.57","56:7,0.77","58:1,0.82","60:5,0.41","62:1,0.65","64:4,0.66","66:7,0.75","69:6,0.48","70:9,0.83","72:5,0.68","74:4,0.77"
"1:9,0.69","3:1,0.85","5:6,0.43","7:7,0.44","9:8,0.77","11:2,0.86","14:7,0.6","16:1,0.45","17:8,0.69","19:9,0.34","22:5,0.45","24:3,0.65","25:6,0.61","28:5,0.65","29:5,0.63","31:9,0.57","34:6,0.64","36:2,0.69","38:4,0.36","40:1,0.51","42:8,0.53","45:9,0.54","46:5,0.78","48:2,0.63","50:5,0.81","52:7,0.49","54:8,0.34","56:2,0.7","58:9,0.71","60:5,0.88","62:2,0.32","64:7,0.55","66:3,0.55","69:3,0.81","70:7,0.43","72:1,0.41","74:6,0.84"
"1:8,0.63","3:7,0.5","5:4,0.5","7:9,0.53","9:7,0.58","11:4,0.56","14:1,0.43","15:3,0.82","17:2,0.68","19:3,0.47","22:9,0.56","24:6,0.83","25:8,0.67","28:9,0.81","29:5,0.84","31:2,0.63","34:6,0.34","36:7,0.61","38:3,0.59","40:7,0.87","42:9,0.65","45:1,0.61","46:4,0.59","48:1,0.52","51:7,0.31","52:3,0.42","54:9,0.31","56:8,0.72","58:4,0.39","60:8,0.77","62:3,0.38","64:4,0.72","66:8,0.85","68:9,0.75","70:2,0.36","72:3,0.51","74:7,0.85"
"1:8,0.86","3:9,0.52","5:2,0.46","7:8,0.56","9:2,0.53","11:2,0.71","14:4,0.61","15:7,0.39","17:8,0.61","19:7,0.83","22:2,0.36","23:2,0.64","25:9,0.44","28:5,0.76","29:5,0.32","31:3,0.56","34:1,0.7","36:4,0.5","38:9,0.84","40:9,0.75","42:8,0.47","45:4,0.52","46:5,0.34","49:9,0.78","50:9,0.47","52:1,0.48","54:6,0.68","56:3,0.6","58:7,0.86","60:6,0.56","62:6,0.44","64:9,0.55","66:9,0.61","68:5,0.88","70:4,0.75","72:3,0.7","74:2,0.89"
"1:4,0.75","3:4,0.59","5:4,0.78","7:7,0.7","9:1,0.61","11:5,0.49","13:9,0.64","15:1,0.76","17:3,0.31","19:5,0.38","22:8,0.44","23:2,0.64","25:3,0.36","28:8,0.89","29:9,0.56","31:5,0.72","34:9,0.8","36:3,0.64","38:7,0.35","40:3,0.31","42:6,0.39","45:9,0.57","46:1,0.37","48:1,0.53","50:5,0.56","52:6,0.39","55:2,0.68","56:3,0.82","58:6,0.54","60:5,0.47","62:8,0.55","64:3,0.8","66:3,0.73","68:1,0.55","70:6,0.46","72:7,0.83","74:7,0.77"
"1:1,0.85","3:8,0.88","5:8,0.33","7:1,0.64","9:6,0.88","12:6,0.59","13:6,0.44","15:9,0.83","17:3,0.89","19:8,0.63","22:4,0.58","23:2,0.59","25:2,0.81","28:9,0.51","29:7,0.67","31:2,0.73","34:8,0.81","36:9,0.35","38:9,0.59","40:6,0.85","42:9,0.76","45:6,0.63","46:2,0.62","48:7,0.38","50:4,0.58","52:5,0.33","55:8,0.34","56:6,0.59","58:6,0.81","60:3,0.76","62:1,0.87","64:1,0.46","66:8,0.72","68:2,0.77","70:5,0.33","72:6,0.84","74:9,0.5"
"1:1,0.79","3:4,0.84","5:1,0.83","7:7,0.9","9:2,0.86","12:5,0.55","13:4,0.65","15:1,0.39","17:8,0.68","19:3,0.43","22:9,0.42","23:7,0.38","25:4,0.37","28:5,0.58","29:2,0.88","31:7,0.71","34:6,0.83","36:3,0.9","38:3,0.54","40:3,0.84","42:7,0.38","45:2,0.9","46:4,0.47","48:2,0.45","51:9,0.79","52:7,0.44","55:3,0.72","56:9,0.54","58:3,0.9","60:2,0.35","62:1,0.42","64:7,0.71","66:9,0.5","68:6,0.65","70:4,0.74","72:9,0.41","74:7,0.45"
"1:5,0.57","3:9,0.82","5:9,0.84","7:5,0.5","9:2,0.66","11:8,0.62","14:4,0.43","15:2,0.77","17:3,0.42","19:3,0.63","22:3,0.69","23:4,0.67","25:8,0.49","28:2,0.77","29:9,0.58","31:6,0.85","34:5,0.78","36:1,0.78","38:6,0.71","40:8,0.49","42:4,0.41","45:2,0.85","46:7,0.89","48:1,0.79","50:1,0.78","52:3,0.73","55:5,0.65","56:2,0.47","58:2,0.31","60:8,0.82","62:8,0.79","64:8,0.61","66:7,0.6","68:6,0.74","70:7,0.85","72:1,0.47","74:6,0.75"
"1:5,0.51","3:5,0.38","5:6,0.44","7:4,0.57","9:3,0.84","12:6,0.42","14:3,0.45","15:5,0.64","17:8,0.73","19:2,0.4","22:3,0.53","23:6,0.86","25:5,0.69","28:4,0.55","29:3,0.85","31:1,0.34","34:2,0.77","36:6,0.73","38:9,0.52","40:5,0.75","42:1,0.38","45:8,0.85","46:9,0.85","48:6,0.44","50:8,0.31","52:7,0.7","55:1,0.35","56:8,0.46","58:7,0.8","60:9,0.79","62:7,0.8","64:8,0.53","66:3,0.46","68:2,0.3","70:4,0.37","72:1,0.48","74:5,0.77"
"1:5,0.89","3:6,0.32","5:6,0.77","7:6,0.65","9:1,0.55","12:1,0.45","14:6,0.55","16:3,0.58","17:1,0.83","19:2,0.31","22:6,0.32","23:2,0.59","25:2,0.88","28:6,0.45","29:3,0.63","31:2,0.58","34:5,0.3","36:9,0.61","38:8,0.65","40:6,0.69","42:2,0.77","45:2,0.52","46:5,0.49","48:2,0.55","50:4,0.75","52:9,0.38","55:9,0.44","56:8,0.88","58:1,0.66","60:5,0.81","62:9,0.63","64:9,0.77","66:9,0.71","68:8,0.74","70:8,0.86","72:9,0.63","74:3,0.68"
"1:4,0.33","3:8,0.5","5:6,0.8","7:9,0.54","9:2,0.53","11:9,0.45","14:4,0.8","15:1,0.74","17:4,0.86","19:3,0.31","22:5,0.54","23:1,0.55","25:7,0.59","28:9,0.44","29:2,0.66","31:5,0.73","34:1,0.41","36:9,0.72","38:3,0.66","40:4,0.73","42:9,0.71","45:3,0.56","46:3,0.8","48:9,0.33","51:2,0.51","52:3,0.4","55:7,0.49","56:9,0.35","58:8,0.58","60:3,0.51","62:9,0.42","64:4,0.89","66:9,0.36","68:4,0.31","70:4,0.39","72:6,0.38","74:1,0.32"
"1:2,0.62","3:2,0.83","5:4,0.85","7:8,0.43","9:9,0.86","11:9,0.69","13:2,0.68","15:3,0.35","17:5,0.68","19:7,0.51","22:3,0.87","23:2,0.34","26:1,0.57","27:5,0.5","29:1,0.74","31:1,0.32","34:2,0.34","36:8,0.37","38:9,0.32","40:6,0.68","42:2,0.88","45:2,0.8","46:6,0.31","48:5,0.36","50:3,0.74","52:6,0.34","54:2,0.37","56:3,0.84","58:8,0.77","60:6,0.34","62:9,0.41","64:8,0.78","66:4,0.64","68:8,0.45","70:1,0.56","72:2,0.47","74:4,0.6"
"1:2,0.66","3:1,0.47","5:2,0.48","7:5,0.53","9:9,0.6","11:2,0.77","13:6,0.75","15:2,0.33","17:6,0.63","19:5,0.62","22:4,0.5","23:2,0.79","26:8,0.5","27:4,0.88","29:3,0.48","31:8,0.67","34:1,0.51","36:4,0.71","39:5,0.59","40:1,0.78","42:2,0.84","45:9,0.42","46:7,0.41","48:7,0.86","50:5,0.81","52:6,0.62","54:6,0.6","56:2,0.36","58:6,0.51","60:8,0.35","62:1,0.57","64:8,0.52","66:7,0.9","68:7,0.85","70:8,0.34","72:7,0.36","74:1,0.47"
"1:1,0.45","3:8,0.42","5:6,0.44","7:7,0.62","9:9,0.34","11:8,0.62","13:1,0.73","15:9,0.53","17:2,0.85","19:7,0.66","22:1,0.79","23:6,0.45","26:8,0.5","28:1,0.75","29:5,0.88","31:2,0.46","34:5,0.44","36:5,0.47","38:3,0.54","40:3,0.55","42:4,0.66","45:6,0.36","46:9,0.36","48:4,0.62","50:4,0.41","52:5,0.87","54:6,0.85","56:3,0.64","58:3,0.58","60:8,0.9","62:8,0.35","64:6,0.62","66:7,0.37","68:7,0.31","70:2,0.42","72:2,0.45","74:8,0.6"
"1:2,0.78","3:9,0.58","5:8,0.7","7:9,0.68","9:3,0.64","11:4,0.34","14:1,0.85","15:8,0.87","17:3,0.79","19:9,0.48","22:1,0.66","23:1,0.81","26:3,0.68","28:1,0.65","29:5,0.54","31:7,0.7","34:1,0.5","36:1,0.55","38:1,0.86","40:3,0.79","42:6,0.74","45:9,0.61","46:8,0.42","48:9,0.46","50:8,0.7","52:5,0.83","54:1,0.4","56:5,0.79","58:7,0.88","60:2,0.6","62:3,0.41","64:8,0.64","66:8,0.76","68:1,0.64","70:1,0.5","72:4,0.79","74:4,0.76"
"1:2,0.71","3:3,0.5","5:9,0.89","7:5,0.57","9:5,0.62","11:6,0.33","13:4,0.35","15:8,0.88","17:5,0.73","19:8,0.37","22:6,0.85","23:6,0.33","25:8,0.36","27:1,0.31","29:5,0.63","31:4,0.83","34:3,0.56","36:3,0.8","38:2,0.39","40:3,0.73","42:2,0.85","45:3,0.54","46:3,0.33","48:7,0.71","50:6,0.73","52:8,0.49","54:8,0.36","56:9,0.56","58:8,0.38","60:1,0.78","62:7,0.81","64:8,0.45","66:6,0.86","68:9,0.57","70:5,0.65","72:3,0.81","75:4,0.37"
"1:6,0.37","3:1,0.83","5:9,0.35","7:8,0.61","9:2,0.9","11:6,0.81","13:2,0.84","15:1,0.65","17:4,0.72","19:7,0.56","22:2,0.59","23:7,0.52","25:9,0.35","27:9,0.83","29:4,0.78","31:7,0.89","34:7,0.34","36:8,0.35","38:6,0.5","40:1,0.84","42:6,0.62","45:4,0.67","46:8,0.87","48:3,0.8","51:7,0.46","52:1,0.77","54:4,0.46","56:5,0.48","58:5,0.34","60:9,0.61","62:6,0.66","64:2,0.33","66:8,0.57","68:8,0.49","70:7,0.53","72:4,0.49","75:1,0.81"
"1:9,0.34","3:7,0.76","5:4,0.4","7:1,0.58","9:4,0.63","11:7,0.5","13:5,0.44","15:1,0.36","17:3,0.88","19:3,0.62","22:8,0.69","23:3,0.46","25:8,0.54","27:4,0.49","29:9,0.6","31:7,0.33","34:4,0.36","36:9,0.85","39:3,0.46","40:4,0.35","42:2,0.85","45:8,0.36","46:3,0.76","48:6,0.38","50:8,0.37","52:1,0.54","54:5,0.55","56:7,0.51","58:7,0.52","60:5,0.32","62:3,0.68","64:2,0.69","66:4,0.8","68:5,0.65","70:8,0.42","72:5,0.52","75:8,0.89"
"1:3,0.79","3:3,0.48","5:9,0.74","7:8,0.56","9:5,0.34","11:6,0.58","13:3,0.37","15:4,0.87","17:2,0.72","19:2,0.45","22:7,0.62","23:4,0.78","25:1,0.4","27:9,0.4","29:8,0.56","31:3,0.41","34:1,0.6","36:2,0.76","39:2,0.43","40:6,0.32","42:4,0.41","45:7,0.61","46:5,0.79","48:5,0.66","51:8,0.64","52:7,0.59","54:5,0.48","56:4,0.4","58:5,0.5","60:2,0.87","62:6,0.87","64:6,0.46","66:7,0.62","68:8,0.39","70:8,0.71","72:1,0.46","75:3,0.84"
"1:2,0.59","3:2,0.59","5:7,0.89","7:5,0.46","9:3,0.69","11:9,0.41","14:7,0.43","15:3,0.46","17:1,0.84","19:5,0.4","22:6,0.88","23:5,0.89","25:8,0.87","27:3,0.33","29:8,0.44","31:2,0.53","34:1,0.62","36:7,0.78","38:3,0.46","40:4,0.67","42:8,0.68","45:7,0.72","46:6,0.42","48:9,0.43","50:2,0.63","52:6,0.66","54:1,0.52","56:9,0.48","58:2,0.65","60:5,0.61","62:5,0.55","64:5,0.71","66:2,0.34","68:9,0.61","70:4,0.74","72:7,0.57","75:1,0.55"
"1:7,0.66","3:9,0.78","5:8,0.44","7:2,0.32","9:7,0.45","11:1,0.86","14:8,0.4","15:9,0.52","17:9,0.38","19:7,0.34","22:4,0.48","23:6,0.47","25:5,0.67","27:6,0.89","29:1,0.75","31:8,0.51","34:3,0.79","36:1,0.72","38:1,0.34","40:6,0.52","42:5,0.66","45:4,0.5","46:9,0.37","48:2,0.39","51:8,0.87","52:1,0.35","54:6,0.44","56:9,0.6","58:3,0.7","60:4,0.8","62:3,0.66","64:3,0.79","66:9,0.7","68:2,0.69","70:8,0.47","72:1,0.33","75:8,0.45"
"1:3,0.53","3:9,0.84","5:5,0.43","7:4,0.7","9:7,0.32","11:4,0.49","14:8,0.88","15:5,0.46","17:3,0.47","19:8,0.4","22:3,0.39","23:7,0.47","25:8,0.39","27:4,0.69","29:4,0.48","31:4,0.4","34:7,0.33","36:4,0.41","39:3,0.7","40:6,0.53","42:8,0.69","45:6,0.62","46:5,0.71","48:2,0.79","50:4,0.32","52:9,0.78","54:2,0.74","56:9,0.75","58:3,0.47","60:3,0.47","62:3,0.66","64:4,0.51","66:8,0.52","68:3,0.61","70:9,0.44","72:1,0.76","75:4,0.65"
"1:5,0.67","3:1,0.79","5:3,0.67","7:7,0.57","9:9,0.52","11:2,0.47","13:6,0.51","15:5,0.47","17:5,0.38","19:8,0.85","22:8,0.39","23:9,0.41","25:4,0.42","27:5,0.62","29:4,0.59","31:6,0.52","34:8,0.68","36:4,0.6","38:6,0.36","40:4,0.89","42:2,0.36","45:7,0.5","46:2,0.39","48:7,0.45","50:7,0.72","52:7,0.57","55:6,0.8","56:1,0.51","58:2,0.79","60:8,0.36","62:2,0.69","64:4,0.84","66:4,0.44","68:7,0.4","70:6,0.5","72:2,0.42","75:9,0.48"
"1:1,0.72","3:4,0.74","5:2,0.35","7:4,0.56","9:3,0.31","12:3,0.38","13:2,0.89","15:8,0.44","17:9,0.9","19:3,0.68","22:1,0.88","23:7,0.62","25:9,0.72","27:7,0.55","29:1,0.75","31:1,0.67","34:7,0.78","36:9,0.88","38:7,0.78","40:9,0.81","42:6,0.87","45:9,0.87","46:3,0.67","48:6,0.64","50:2,0.35","52:1,0.38","55:9,0.48","56:4,0.62","58:4,0.49","60:4,0.39","62:8,0.52","64:3,0.67","66:7,0.66","68:9,0.75","70:4,0.82","72:3,0.33","75:2,0.81"
"1:1,0.81","3:6,0.77","5:4,0.4","7:7,0.85","9:2,0.8","12:9,0.53","13:5,0.83","16:2,0.89","17:6,0.36","19:7,0.48","22:5,0.85","23:6,0.66","25:3,0.42","27:7,0.77","29:8,0.64","31:7,0.65","34:1,0.62","36:1,0.47","38:1,0.42","40:3,0.55","42:1,0.8","45:9,0.76","46:9,0.48","48:4,0.85","50:2,0.42","52:5,0.67","55:4,0.37","56:1,0.88","58:4,0.64","60:9,0.69","62:4,0.36","64:3,0.67","66:1,0.49","68:5,0.4","70:3,0.44","72:7,0.37","75:1,0.76"
"1:1,0.7","3:8,0.39","5:9,0.67","7:4,0.73","9:3,0.34","11:2,0.32","13:6,0.75","15:1,0.85","17:1,0.81","19:8,0.78","22:5,0.64","23:1,0.47","25:3,0.72","27:8,0.7","29:8,0.8","31:7,0.81","34:7,0.7","36:4,0.36","38:1,0.33","40:5,0.5","42:2,0.66","45:5,0.38","46:4,0.53","48:4,0.4","50:2,0.46","52:8,0.77","55:3,0.69","56:6,0.31","58:7,0.79","60:4,0.44","62:3,0.89","64:8,0.85","66:6,0.32","69:5,0.84","70:5,0.61","72:2,0.6","75:5,0.75"
"1:4,0.9","3:1,0.78","5:2,0.54","7:7,0.73","9:8,0.87","11:7,0.43","13:1,0.86","15:4,0.58","17:3,0.8","19:6,0.59","22:9,0.46","23:4,0.54","25:2,0.57","27:1,0.36","29:4,0.77","31:9,0.63","34:1,0.39","36:6,0.79","38:9,0.61","40:3,0.89","42:4,0.86","45:4,0.71","46:6,0.62","48:3,0.43","51:3,0.69","52:4,0.79","55:3,0.39","56:5,0.35","58:2,0.46","60:5,0.87","62:3,0.42","64:1,0.52","66:7,0.77","68:8,0.57","70:1,0.74","72:7,0.36","75:3,0.51"
"1:2,0.59","3:4,0.48","5:2,0.32","7:5,0.44","9:9,0.8","12:4,0.72","13:1,0.45","15:2,0.56","17:7,0.46","19:7,0.87","22:1,0.76","23:3,0.8","25:7,0.7","27:9,0.59","29:9,0.51","31:2,0.57","34:7,0.7","36:7,0.37","38:5,0.59","40:7,0.85","42:9,0.5","45:8,0.53","46:5,0.77","48:3,0.85","51:6,0.66","52:1,0.41","55:3,0.58","56:8,0.72","58:7,0.67","60:5,0.9","62:9,0.41","64:5,0.78","66:8,0.53","68:5,0.48","70:8,0.7","72:3,0.32","75:2,0.41"
"1:7,0.61","3:6,0.86","5:3,0.88","7:9,0.35","9:8,0.38","11:5,0.4","13:1,0.87","15:7,0.75","17:4,0.87","19:6,0.4","22:8,0.68","23:6,0.79","25:8,0.38","27:8,0.57","29:9,0.42","31:1,0.78","34:1,0.39","36:1,0.42","38:5,0.41","40:1,0.85","42:8,0.58","45:1,0.73","46:2,0.38","48:2,0.8","51:4,0.41","52:9,0.63","55:1,0.81","56:6,0.52","58:1,0.86","60:7,0.8","62:8,0.37","64:2,0.33","66:4,0.34","69:9,0.52","70:5,0.75","72:1,0.56","75:8,0.84"
"1:7,0.46","3:7,0.38","5:1,0.7","7:7,0.49","9:7,0.51","11:3,0.9","13:6,0.82","15:5,0.85","17:4,0.59","19:5,0.4","22:2,0.77","23:2,0.52","25:4,0.63","27:8,0.87","29:9,0.6","31:1,0.76","34:1,0.64","36:6,0.46","39:6,0.33","40:4,0.78","42:8,0.54","45:4,0.61","46:2,0.41","48:6,0.8","50:4,0.88","52:4,0.56","55:7,0.39","56:4,0.6","58:7,0.33","60:1,0.68","62:1,0.57","64:8,0.44","66:7,0.55","68:9,0.33","70:2,0.56","72:8,0.56","75:8,0.73"
"1:1,0.46","3:7,0.69","5:1,0.33","7:6,0.66","9:4,0.74","11:5,0.64","13:4,0.89","15:5,0.67","17:2,0.69","19:7,0.35","22:1,0.41","23:9,0.56","25:9,0.83","27:7,0.69","29:3,0.87","31:6,0.85","34:8,0.83","36:2,0.67","39:5,0.73","40:1,0.61","42:1,0.56","45:1,0.44","46:4,0.46","48:2,0.73","50:7,0.83","52:2,0.85","55:4,0.37","56:4,0.45","58:4,0.47","60:3,0.62","62:5,0.7","64:4,0.41","66:7,0.45","68:5,0.79","71:9,0.36","72:5,0.65","75:5,0.55"
"1:2,0.77","3:3,0.68","5:7,0.63","7:6,0.89","9:2,0.52","11:8,0.48","14:1,0.68","15:5,0.64","17:8,0.69","19:1,0.55","22:9,0.89","23:2,0.38","25:8,0.81","27:7,0.32","29:9,0.73","31:3,0.46","34:9,0.65","36:8,0.34","38:8,0.33","40:7,0.59","42:7,0.79","45:1,0.89","46:1,0.77","48:1,0.41","50:2,0.71","52:8,0.67","55:7,0.48","56:8,0.3","58:5,0.71","60:7,0.7","62:2,0.54","64:7,0.34","66:5,0.56","68:3,0.5","70:6,0.34","72:6,0.34","75:3,0.6"
"1:1,0.41","3:2,0.77","5:5,0.41","7:3,0.79","9:5,0.6","11:7,0.65","14:9,0.51","15:2,0.43","17:9,0.34","19:5,0.84","22:9,0.31","23:5,0.46","25:7,0.44","27:6,0.71","29:1,0.79","31:3,0.86","34:8,0.87","36:3,0.67","38:8,0.36","40:2,0.36","42:2,0.88","45:1,0.89","46:6,0.61","48:9,0.47","50:4,0.87","52:3,0.53","55:4,0.35","56:4,0.89","58:5,0.65","60:7,0.32","62:9,0.34","64:9,0.4","66:6,0.87","69:3,0.37","70:4,0.63","72:6,0.4","75:3,0.85"
"1:4,0.37","3:2,0.49","5:3,0.81","7:2,0.35","9:5,0.59","11:8,0.68","14:1,0.45","16:9,0.7","17:4,0.35","19:3,0.31","22:1,0.49","23:4,0.65","25:5,0.45","27:3,0.84","29:5,0.51","31:2,0.86","34:4,0.62","36:9,0.85","38:5,0.42","40:1,0.56","42:2,0.46","45:9,0.57","46:5,0.41","48:4,0.3","50:1,0.65","52:1,0.8","55:2,0.62","56:8,0.34","58:7,0.68","60:9,0.42","62:3,0.79","64:1,0.35","66:7,0.4","69:9,0.86","70:2,0.77","72:9,0.78","75:8,0.45"
"1:3,0.85","3:2,0.79","5:8,0.83","7:1,0.57","9:3,0.34","11:9,0.67","14:1,0.56","15:6,0.69","17:6,0.56","19:6,0.44","22:1,0.33","23:3,0.56","25:8,0.35","27:2,0.57","29:8,0.57","31:4,0.71","34:6,0.46","36:4,0.71","38:7,0.36","40:2,0.62","42:9,0.37","45:5,0.77","46:3,0.69","48:2,0.6","51:3,0.64","52:4,0.33","55:1,0.83","56:5,0.66","58:3,0.84","60:5,0.55","62:9,0.67","64:7,0.68","66:7,0.79","68:2,0.37","70:6,0.58","72:1,0.36","75:1,0.81"
